account_id,is_fraud,role
acc044236,1,Mule
acc020157,1,Mule
acc018313,1,Mule
acc007923,1,Mule
acc009424,1,Mule
acc024463,1,Mule
acc025179,1,Mule
acc030150,1,Mule
acc024440,1,Mule
acc020254,1,Mule
acc008334,1,Mule
acc005002,1,Mule
acc036072,1,Mule
acc033877,1,Mule
acc028107,1,Mule
acc004319,1,Mule
acc025468,1,Mule
acc036966,1,Mule
acc002639,1,Mule
acc036530,1,Mule
acc041280,1,Mule
acc008054,1,Mule
acc024563,1,Mule
acc040684,1,Mule
acc034455,1,Mule
acc036516,1,Mule
acc038818,1,Mule
acc024878,1,Mule
acc041929,1,Mule
acc027644,1,Mule
acc016326,1,Mule
acc010220,1,Mule
acc005305,1,Mule
acc037859,1,Mule
acc039336,1,Mule
acc030177,1,Mule
acc023005,1,Mule
acc032338,1,Mule
acc028894,1,Mule
acc000974,1,Mule
acc028092,1,Mule
acc033495,1,Mule
acc022449,1,Mule
acc030870,1,Mule
acc017885,1,Mule
acc004011,1,Mule
acc007920,1,Mule
acc030600,1,Mule
acc027093,1,Mule
acc033478,1,Mule
acc006001,1,Mule
acc003198,1,Mule
acc028485,1,Mule
acc001222,1,Mule
acc024566,1,Mule
acc024170,1,Mule
acc037059,1,Mule
acc024047,1,Mule
acc039118,1,Mule
acc016898,1,Mule
acc034459,1,Mule
acc018477,1,Mule
acc018197,1,Mule
acc011154,1,Mule
acc008878,1,Mule
acc012476,1,Mule
acc003699,1,Mule
acc041002,1,Mule
acc033021,1,Mule
acc018118,1,Mule
acc039362,1,Mule
acc034134,1,Mule
acc024192,1,Mule
acc007148,1,Mule
acc013859,1,Mule
acc037620,1,Mule
acc026159,1,Mule
acc031529,1,Mule
acc042413,1,Mule
acc037591,1,Mule
acc007641,1,Mule
acc007238,1,Mule
acc023044,1,Mule
acc043457,1,Mule
acc016348,1,Mule
acc001302,1,Mule
acc018723,1,Mule
acc033344,1,Mule
acc031215,1,Mule
acc028661,1,Mule
acc008949,1,Mule
acc027239,1,Mule
acc043186,1,Mule
acc021174,1,Mule
acc044193,1,Mule
acc013111,1,Mule
acc002607,1,Mule
acc021944,1,Mule
acc013381,1,Mule
acc024888,1,Mule
acc033569,1,Mule
acc041543,1,Mule
acc026208,1,Mule
acc040928,1,Mule
acc030694,1,Mule
acc031015,1,Mule
acc031734,1,Mule
acc040517,1,Mule
acc024475,1,Mule
acc024390,1,Mule
acc041087,1,Mule
acc036570,1,Mule
acc025153,1,Mule
acc001199,1,Mule
acc022586,1,Mule
acc038294,1,Mule
acc033931,1,Mule
acc039378,1,Mule
acc037522,1,Mule
acc039120,1,Mule
acc000211,1,Mule
acc002935,1,Mule
acc032784,1,Mule
acc044571,1,Mule
acc014207,1,Mule
acc026098,1,Mule
acc009921,1,Mule
acc014096,1,Mule
acc026922,1,Mule
acc042305,1,Mule
acc042285,1,Mule
acc020139,1,Mule
acc020805,1,Mule
acc019019,1,Mule
acc033800,1,Mule
acc043257,1,Mule
acc032377,1,Mule
acc017231,1,Mule
acc013773,1,Mule
acc000515,1,Mule
acc029303,1,Mule
acc016328,1,Mule
acc014569,1,Mule
acc041951,1,Mule
acc028093,1,Mule
acc013806,1,Mule
acc034154,1,Mule
acc030557,1,Mule
acc008344,1,Mule
acc006033,1,Mule
acc000560,1,Mule
acc004563,1,Mule
acc002509,1,Mule
acc012690,1,Mule
acc006044,1,Mule
acc016238,1,Mule
acc028821,1,Mule
acc040419,1,Mule
acc025822,1,Mule
acc022422,1,Mule
acc006524,1,Mule
acc024929,1,Mule
acc004257,1,Mule
acc037972,1,Mule
acc037955,1,Mule
acc030209,1,Mule
acc015837,1,Mule
acc011873,1,Mule
acc007341,1,Mule
acc004663,1,Mule
acc042414,1,Mule
acc036099,1,Mule
acc025681,1,Mule
acc041140,1,Mule
acc040551,1,Mule
acc007861,1,Mule
acc027146,1,Mule
acc010918,1,Mule
acc009377,1,Mule
acc001943,1,Mule
acc029612,1,Mule
acc006654,1,Mule
acc043769,1,Mule
acc002298,1,Mule
acc014267,1,Mule
acc024999,1,Mule
acc017622,1,Mule
acc024237,1,Mule
acc037356,1,Mule
acc029389,1,Mule
acc014058,1,Mule
acc007171,1,Mule
acc003621,1,Mule
acc001083,1,Mule
acc013388,1,Mule
acc027722,1,Mule
acc018215,1,Mule
acc015699,1,Mule
acc024184,1,Mule
acc030869,1,Mule
acc039179,1,Mule
acc019217,1,Mule
acc044513,1,Mule
acc036672,1,Mule
acc038706,1,Mule
acc026296,1,Mule
acc019990,1,Mule
acc027991,1,Mule
acc037985,1,Mule
acc040766,1,Mule
acc033463,1,Mule
acc015579,1,Mule
acc033230,1,Mule
acc032099,1,Mule
acc041894,1,Mule
acc004335,1,Mule
acc037067,1,Mule
acc016579,1,Mule
acc001015,1,Mule
acc000220,1,Mule
acc027159,1,Mule
acc021469,1,Mule
acc019953,1,Mule
acc016307,1,Mule
acc017429,1,Mule
acc041846,1,Mule
acc028589,1,Mule
acc019622,1,Mule
acc028544,1,Mule
acc035870,1,Mule
acc022916,1,Mule
acc027408,1,Mule
acc008733,1,Mule
acc023306,1,Mule
acc006111,1,Mule
acc029082,1,Mule
acc031794,1,Mule
acc004120,1,Mule
acc015096,1,Mule
acc005679,1,Mule
acc027639,1,Mule
acc029668,1,Mule
acc021626,1,Mule
acc025206,1,Mule
acc031635,1,Mule
acc030322,1,Mule
acc022592,1,Mule
acc031560,1,Mule
acc040836,1,Mule
acc018246,1,Mule
acc030286,1,Mule
acc032495,1,Mule
acc021078,1,Mule
acc005515,1,Mule
acc034825,1,Mule
acc012852,1,Mule
acc024701,1,Mule
acc012088,1,Mule
acc009428,1,Mule
acc023956,1,Mule
acc035114,1,Mule
acc024111,1,Mule
acc044775,1,Mule
acc013827,1,Mule
acc042049,1,Mule
acc033740,1,Mule
acc016269,1,Mule
acc044335,1,Mule
acc011931,1,Mule
acc018525,1,Mule
acc044251,1,Mule
acc014206,1,Mule
acc035523,1,Mule
acc016097,1,Mule
acc026926,1,Mule
acc005579,1,Mule
acc001929,1,Mule
acc028480,1,Mule
acc011483,1,Mule
acc041862,1,Mule
acc022510,1,Mule
acc019619,1,Mule
acc034749,1,Mule
acc026394,1,Mule
acc012182,1,Mule
acc026683,1,Mule
acc015592,1,Mule
acc028970,1,Mule
acc020429,1,Mule
acc041858,1,Mule
acc011685,1,Mule
acc001738,1,Mule
acc002572,1,Mule
acc028097,1,Mule
acc029053,1,Mule
acc010169,1,Mule
acc041716,1,Mule
acc038705,1,Mule
acc021431,1,Mule
acc028012,1,Mule
acc025324,1,Mule
acc039036,1,Mule
acc007818,1,Mule
acc036686,1,Mule
acc026944,1,Mule
acc011948,1,Mule
acc033511,1,Mule
acc004533,1,Mule
acc018559,1,Mule
acc030606,1,Mule
acc040118,1,Mule
acc014988,1,Mule
acc035976,1,Mule
acc029648,1,Mule
acc005937,1,Mule
acc039287,1,Mule
acc003955,1,Mule
acc036230,1,Mule
acc024665,1,Mule
acc020196,1,Mule
acc018551,1,Mule
acc019589,1,Mule
acc011269,1,Mule
acc007579,1,Mule
acc024219,1,Mule
acc008298,1,Mule
acc015102,1,Mule
acc038419,1,Mule
acc027105,1,Mule
acc034531,1,Mule
acc015191,1,Mule
acc010867,1,Mule
acc039890,1,Mule
acc000470,1,Mule
acc025158,1,Mule
acc002291,1,Mule
acc025200,1,Mule
acc009750,1,Mule
acc033383,1,Mule
acc039927,1,Mule
acc039924,1,Mule
acc010690,1,Mule
acc009196,1,Mule
acc039550,1,Mule
acc000493,1,Mule
acc036216,1,Mule
acc000046,1,Mule
acc000692,1,Mule
acc002268,1,Mule
acc006099,1,Mule
acc039854,1,Mule
acc006074,1,Mule
acc028007,1,Mule
acc041841,1,Mule
acc037628,1,Mule
acc034203,1,Mule
acc004604,1,Mule
acc035711,1,Mule
acc016322,1,Mule
acc032088,1,Mule
acc033204,1,Mule
acc021053,1,Mule
acc016808,1,Mule
acc007316,1,Mule
acc020498,1,Mule
acc028038,1,Mule
acc005501,1,Mule
acc005509,1,Mule
acc013883,1,Mule
acc022061,1,Mule
acc016033,1,Mule
acc033592,1,Mule
acc001119,1,Mule
acc014860,1,Mule
acc027828,1,Mule
acc038787,1,Mule
acc043433,1,Mule
acc024560,1,Mule
acc024391,1,Mule
acc010491,1,Mule
acc008324,1,Mule
acc032748,1,Mule
acc039682,1,Mule
acc014273,1,Mule
acc003492,1,Mule
acc003600,1,Mule
acc000632,1,Mule
acc039007,1,Mule
acc025450,1,Mule
acc034264,1,Mule
acc013230,1,Mule
acc032504,1,Mule
acc021122,1,Mule
acc028036,1,Mule
acc031845,1,Mule
acc006427,1,Mule
acc001752,1,Mule
acc022496,1,Mule
acc001642,1,Mule
acc040426,1,Mule
acc014367,1,Mule
acc001623,1,Mule
acc037481,1,Mule
acc031640,1,Mule
acc019934,1,Mule
acc014366,1,Mule
acc010776,1,Mule
acc005716,1,Mule
acc043975,1,Mule
acc010447,1,Mule
acc021724,1,Mule
acc004118,1,Mule
acc030821,1,Mule
acc028596,1,Mule
acc032262,1,Mule
acc024098,1,Mule
acc030353,1,Mule
acc029976,1,Mule
acc024664,1,Mule
acc029208,1,Mule
acc011787,1,Mule
acc007276,1,Mule
acc038730,1,Mule
acc012498,1,Mule
acc030917,1,Mule
acc005657,1,Mule
acc021022,1,Mule
acc021671,1,Mule
acc024251,1,Mule
acc017274,1,Mule
acc039156,1,Mule
acc005398,1,Mule
acc030542,1,Mule
acc009716,1,Mule
acc021802,1,Mule
acc015548,1,Mule
acc034194,1,Mule
acc005364,1,Mule
acc014440,1,Mule
acc028106,1,Mule
acc012809,1,Mule
acc019507,1,Mule
acc024796,1,Mule
acc019797,1,Mule
acc001445,1,Mule
acc044699,1,Mule
acc008368,1,Mule
acc000943,1,Mule
acc009855,1,Mule
acc006612,1,Mule
acc040000,1,Mule
acc037721,1,Mule
acc011874,1,Mule
acc010908,1,Mule
acc034372,1,Mule
acc018026,1,Mule
acc005377,1,Mule
acc026304,1,Mule
acc044893,1,Mule
acc042290,1,Mule
acc036374,1,Mule
acc032228,1,Mule
acc034313,1,Mule
acc033186,1,Mule
acc010547,1,Mule
acc008475,1,Mule
acc036930,1,Mule
acc006330,1,Mule
acc036144,1,Mule
acc039051,1,Mule
acc011159,1,Mule
acc014835,1,Mule
acc012963,1,Mule
acc027691,1,Mule
acc032236,1,Mule
acc015672,1,Mule
acc039609,1,Mule
acc036642,1,Mule
acc034712,1,Mule
acc038609,1,Mule
acc004277,1,Mule
acc027748,1,Mule
acc042781,1,Mule
acc002684,1,Mule
acc031149,1,Mule
acc038826,1,Mule
acc011249,1,Mule
acc014845,1,Mule
acc031475,1,Mule
acc041991,1,Mule
acc032256,1,Mule
acc001482,1,Mule
acc013831,1,Mule
acc028032,1,Mule
acc007228,1,Mule
acc023572,1,Mule
acc028121,1,Mule
acc010168,1,Mule
acc003758,1,Mule
acc044851,1,Mule
acc009025,1,Mule
acc022021,1,Mule
acc031666,1,Mule
acc017848,1,Mule
acc038922,1,Mule
acc017623,1,Mule
acc041012,1,Mule
acc024561,1,Mule
acc007425,1,Mule
acc029219,1,Mule
acc006142,1,Mule
acc011554,1,Mule
acc036501,1,Mule
acc039207,1,Mule
acc001250,1,Mule
acc016749,1,Mule
acc043048,1,Mule
acc034027,1,Mule
acc001144,1,Mule
acc033530,1,Mule
acc018938,1,Mule
acc019212,1,Mule
acc033261,1,Mule
acc007942,1,Mule
acc042043,1,Mule
acc036517,1,Mule
acc035276,1,Mule
acc024832,1,Mule
acc032131,1,Mule
acc005759,1,Mule
acc009980,1,Mule
acc037554,1,Mule
acc034141,1,Mule
acc027906,1,Mule
acc004170,1,Mule
acc030302,1,Mule
acc034017,1,Mule
acc001843,1,Mule
acc019788,1,Mule
acc023510,1,Mule
acc012755,1,Mule
acc006730,1,Mule
acc035397,1,Mule
acc043053,1,Mule
acc016280,1,Mule
acc023346,1,Mule
acc019832,1,Mule
acc010497,1,Mule
acc017920,1,Mule
acc013865,1,Mule
acc019661,1,Mule
acc027308,1,Mule
acc008748,1,Mule
acc013734,1,Mule
acc001461,1,Mule
acc039000,1,Mule
acc030012,1,Mule
acc009675,1,Mule
acc038775,1,Mule
acc020874,1,Mule
acc023896,1,Mule
acc027903,1,Mule
acc007666,1,Mule
acc037633,1,Mule
acc043633,1,Mule
acc044697,1,Mule
acc044222,1,Mule
acc040674,1,Mule
acc001873,1,Mule
acc041706,1,Mule
acc033616,1,Mule
acc021156,1,Mule
acc029237,1,Mule
acc004969,1,Mule
acc022103,1,Mule
acc004762,1,Mule
acc027916,1,Mule
acc035817,1,Mule
acc041683,1,Mule
acc036881,1,Mule
acc041374,1,Mule
acc025953,1,Mule
acc022678,1,Mule
acc034574,1,Mule
acc006214,1,Mule
acc005109,1,Mule
acc008925,1,Mule
acc000799,1,Mule
acc009528,1,Mule
acc006666,1,Mule
acc030617,1,Mule
acc020224,1,Mule
acc017441,1,Mule
acc010000,1,Mule
acc042761,1,Mule
acc036693,1,Mule
acc007311,1,Mule
acc023824,1,Mule
acc009011,1,Mule
acc014802,1,Mule
acc038630,1,Mule
acc001921,1,Mule
acc036097,1,Mule
acc003808,1,Mule
acc022492,1,Mule
acc039602,1,Mule
acc011971,1,Mule
acc032958,1,Mule
acc024347,1,Mule
acc018206,1,Mule
acc031766,1,Mule
acc028348,1,Mule
acc035859,1,Mule
acc018011,1,Mule
acc004754,1,Mule
acc012134,1,Mule
acc006463,1,Mule
acc017965,1,Mule
acc030019,1,Mule
acc001679,1,Mule
acc012218,1,Mule
acc021212,1,Mule
acc017505,1,Mule
acc023158,1,Mule
acc020551,1,Mule
acc001162,1,Mule
acc005706,1,Mule
acc015917,1,Mule
acc020984,1,Mule
acc006977,1,Mule
acc004739,1,Mule
acc027776,1,Mule
acc032590,1,Mule
acc022541,1,Mule
acc026823,1,Mule
acc002124,1,Mule
acc027181,1,Mule
acc044931,1,Mule
acc027563,1,Mule
acc000424,1,Mule
acc004006,1,Mule
acc013157,1,Mule
acc018701,1,Mule
acc023394,1,Mule
acc010844,1,Mule
acc041877,1,Mule
acc013182,1,Mule
acc029027,1,Mule
acc037723,1,Mule
acc022930,1,Mule
acc029798,1,Mule
acc002083,1,Mule
acc042310,1,Mule
acc025851,1,Mule
acc041585,1,Mule
acc009235,1,Mule
acc024228,1,Mule
acc005705,1,Mule
acc028759,1,Mule
acc041491,1,Mule
