account_id;in_degree;out_degree;total_in;ratio;avg_retention_hours;probabilidade_fraude;predicao_classe;is_fraud_real;role;total_out
acc014958;4;2;15828,16;0,17015106610555739;159,03194444444443;0,0042190105;0;0;Honest;2693,1800000000003
acc032333;2;2;3246,27;1,0860985497246078;-368,81375;0,0020627237;0;0;Honest;3525,78
acc021462;0;2;0,0;0,0;9999,0;0,0023856927;0;0;Honest;31889,71
acc002326;4;4;83173,59;0,8754763530735715;-48,39833333333333;0,99259865;1;1;Mule;72816,52
acc004656;23;1;438247,08;0,003283193506202174;-908,0783333334044;0,9920724;1;1;Boss;1438,85
acc035376;0;2;0,0;0,0;9999,0;0,0023856927;0;0;Honest;1146,8899999999999
acc038566;3;3;2028,9299999999998;5,753570830088618;-496,57657407402667;0,0010410447;0;0;Honest;11673,65
acc039477;1;4;577,74;14,88060579835569;1145,7170138888532;0,0014545663;0;0;Honest;8597,27
acc032716;6;1;30768,46;0,08111225550051725;-944,4248611111111;0,019969035;0;0;Honest;2495,7
acc038597;2;3;3421,9700000000003;1,7745778759665456;-502,11481481479115;0,0015138369;0;0;Honest;6072,570000000001
acc007080;2;1;15587,25;0,09632674376381738;354,30027777777775;0,0035691198;0;0;Honest;1501,47
acc020520;2;5;14183,5;1,1997784751447278;1,6674166666666665;0,02168854;0;0;Honest;17017,07
acc043940;3;2;3472,59;0,2822035362552554;-442,13152777784893;0,0033291136;0;0;Honest;979,98
acc011655;1;3;1807,13;2,1695386079661785;545,8823148148622;0,0013950724;0;0;Honest;3920,66
acc036803;3;2;5854,6;0,39417484683010484;1000,4178703703466;0,0027270839;0;0;Honest;2307,7400000000002
acc018585;3;1;5760,88;0,026926395053542072;1051,4595370370132;0,0026890645;0;0;Honest;155,12
acc010771;2;3;402,53;8,124310627515278;-603,6921296296534;0,0010410447;0;0;Honest;3270,36
acc044740;1;5;957,01;7,659589141292763;1319,2626111111113;0,0014545663;0;0;Honest;7330,38
acc005642;4;0;6500,64;0,0;0,0;0,0025221691;0;0;Honest;0,0
acc007927;2;7;5248,54;10,017749664192966;-484,94547619043556;0,0023315893;0;0;Honest;52578,659999999996
acc014449;4;1;4038,26;0,19580166754575598;376,2427083333689;0,0044310675;0;0;Honest;790,7
acc040071;2;3;3596,71;7,364507106474788;-175,66856481479113;0,0010977717;0;0;Honest;26488,07
acc014074;5;3;29902,28;1,055104475275974;-456,70351851854224;0,12474784;0;0;Honest;31550,04
acc029310;3;3;17096,079999999998;0,8512466885703108;756,7540740740978;0,06167361;0;0;Honest;14552,990000000002
acc041699;0;4;0,0;0,0;9999,0;0,0031904017;0;0;Honest;2081,39
acc006648;2;1;1245,5;0,7055583656494127;812,2419444444445;0,003153038;0;0;Honest;878,78
acc022958;3;3;4651,360000000001;5,426061568957102;-159,8710185184711;0,0014211038;0;0;Honest;25238,62
acc021212;4;9;76260,34;0,915112899429389;-103,71515432099557;0,99259865;1;1;Mule;69786,83
acc043555;31;2;597053,24;0,0065971000074113995;-403,83400537635555;0,9920724;1;1;Boss;3938,82
acc007179;1;4;1572,28;11,8892443505969;-1058,9118055555555;0,001687823;0;0;Honest;18693,34
acc036503;3;1;3279,74;0,3954996569860508;744,2689814814577;0,002511134;0;0;Honest;1297,14
acc004789;0;3;0,0;0,0;9999,0;0,0023856927;0;0;Honest;4544,5
acc014049;3;4;7137,62;4,974816570766487;-364,90363425927114;0,0038031626;0;0;Honest;35508,4
acc030059;1;3;1959,47;3,2034876599914264;-228,78444444437332;0,00133028;0;0;Honest;6277,17
acc015215;2;1;2673,5;0,2617308332491743;515,6704166666667;0,0026521224;0;0;Honest;699,74
acc024636;3;1;3057,3500000000004;0,35725266242771536;-740,6912962962489;0,002735827;0;0;Honest;1092,25
acc018292;2;2;3472,61;0,2195834845160138;-78,40861111111111;0,0021542287;0;0;Honest;762,53
acc028928;3;2;13818,039999999999;0,17026787426590584;-563,6731481481245;0,0017009904;0;0;Honest;2352,77
acc027876;1;1;1162,7;0,14131640735867068;129,86138888888888;0,0022605644;0;0;Honest;164,31
acc002495;4;3;15312,96;1,1396548154930102;414,50766203697776;0,0053220056;0;0;Honest;17451,5
acc031631;2;3;13132,34;1,2350356181490745;-171,59935185180444;0,0055097523;0;0;Honest;16218,92
acc009098;1;5;2166,28;2,7268879051281214;679,7798888888889;0,0014751055;0;0;Honest;5907,23
